Subject;Group;TrialID;Eye;Training;Session;Task;Emotion;Gender;Target Name;Target Position;Correct response;Subject response;Errors;Response time;First time on eyes;Total fixation time on eyes;Total fixation time on face (other than eyes);Total fixation time on image (used for percentage computation);Percent time on eyes;Percent time on face;First blink type;First area looked (1 for eyes);Response time_sorting;Total fixation time on image (used for percentage computation)_sorting
19;YA;1;L;False;3;Gaze;Neutral;Femme;Femme_Neutral37;Right;3;3;0;906.9538;372;2796;1736;4532;61.694616063548104;38.305383936451896;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;2;L;False;3;Gaze;Fear;Homme;Homme_Fear36;Right;2;2;0;929.3935;325;3818;761;4579;83.38065079711727;16.619349202882724;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;3;L;False;3;Gaze;Angry;Homme;Homme_Angry3;Left;1;1;0;726.0353;285;3022;1700;4722;63.99830580262601;36.00169419737399;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;4;L;False;3;Gaze;Neutral;Homme;Homme_Neutral33;Right;3;3;0;711.2507;347;3490;1023;4513;77.33215156215377;22.66784843784622;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;5;L;False;3;Gaze;Angry;Homme;Homme_Angry36;Left;1;1;0;804.2516;480;4008;418;4426;90.55580659737912;9.444193402620876;Late;1;Normal Response time value;Deviant Total fixation time on image (used for percentage computation) 2 SD
19;YA;6;L;False;3;Gaze;Angry;Homme;Homme_Angry33;Right;1;1;0;644.0945;332;3469;1167;4636;74.8274374460742;25.172562553925797;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;7;L;False;3;Gaze;Neutral;Femme;Femme_Neutral14;Left;3;3;0;698.5224;292;3503;1153;4656;75.23625429553265;24.763745704467354;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;8;L;False;3;Gaze;Fear;Homme;Homme_Fear33;Left;2;2;0;378.3406;287;3529;977;4506;78.31779849090103;21.682201509098977;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;9;L;False;3;Gaze;Angry;Femme;Femme_Angry61;Right;1;1;0;1582.9775;303;2124;2541;4665;45.53054662379421;54.46945337620579;Late;1;Deviant Response time 2 SD;Normal Total fixation time on image (used for percentage computation) value
19;YA;10;L;False;3;Gaze;Fear;Femme;Femme_Fear37;Right;2;2;0;1061.7286;297;3376;1183;4559;74.05132704540469;25.94867295459531;No blink;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;11;L;False;3;Gaze;Fear;Femme;Femme_Fear61;Right;2;2;0;965.5688;328;2635;1986;4621;57.022289547716944;42.977710452283056;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;12;L;False;3;Gaze;Neutral;Homme;Homme_Neutral3;Left;3;3;0;1132.6846;304;3547;1105;4652;76.24677558039554;23.75322441960447;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;13;L;False;3;Gaze;Fear;Femme;Femme_Fear12;Left;2;2;0;628.491;289;2440;2125;4565;53.45016429353778;46.54983570646221;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;14;L;False;3;Gaze;Neutral;Femme;Femme_Neutral12;Right;3;3;0;1667.5928;292;2927;1670;4597;63.67195997389602;36.32804002610398;No blink;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;15;L;False;3;Gaze;Angry;Femme;Femme_Angry37;Right;1;1;0;1274.7613;351;4001;498;4499;88.93087352745054;11.069126472549454;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;16;L;False;3;Gaze;Angry;Homme;Homme_Angry24;Right;1;1;0;1103.788;355;3454;1017;4471;77.25341087005144;22.746589129948557;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;17;L;False;3;Gaze;Fear;Homme;Homme_Fear3;Left;2;2;0;1125.1069;276;1417;3207;4624;30.64446366782007;69.35553633217994;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;18;L;False;3;Gaze;Fear;Femme;Femme_Fear14;Left;2;2;0;878.3164;271;3800;839;4639;81.91420564776891;18.085794352231087;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;19;L;False;3;Gaze;Neutral;Homme;Homme_Neutral36;Right;3;3;0;1549.4242;289;3126;1389;4515;69.2358803986711;30.764119601328904;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;20;L;False;3;Gaze;Angry;Femme;Femme_Angry12;Left;1;1;0;716.5652;277;3820;859;4679;81.64137636247061;18.358623637529387;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;21;L;False;3;Gaze;Neutral;Femme;Femme_Neutral61;Left;3;3;0;1922.9576;704;3555;1105;4660;76.28755364806867;23.71244635193133;Late;0;Deviant Response time 2 SD;Normal Total fixation time on image (used for percentage computation) value
19;YA;22;L;False;3;Gaze;Angry;Femme;Femme_Angry14;Left;1;1;0;1058.0975;284;3656;944;4600;79.47826086956522;20.52173913043478;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;23;L;False;3;Gaze;Fear;Homme;Homme_Fear24;Right;2;2;0;1223.8142;339;3175;1414;4589;69.18718675092613;30.812813249073873;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;24;L;False;3;Gaze;Neutral;Homme;Homme_Neutral24;Left;3;3;0;1399.6381;306;3852;814;4666;82.55465066438063;17.445349335619373;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;1;L;False;4;Gaze;Neutral;Femme;Femme_Neutral1;Right;3;3;0;784.3315;437;3739;748;4487;83.32961889904168;16.670381100958323;No blink;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;2;L;False;4;Gaze;Angry;Femme;Femme_Angry1;Right;1;1;0;550.7569;309;3700;868;4568;80.99824868651488;19.001751313485112;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;3;L;False;4;Gaze;Angry;Homme;Homme_Angry25;Right;1;1;0;566.3986;328;3744;879;4623;80.98637248539909;19.01362751460091;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;4;L;False;4;Gaze;Angry;Femme;Femme_Angry57;Left;1;1;0;427.9228;264;3600;1049;4649;77.43600774360078;22.563992256399228;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;5;L;False;4;Gaze;Neutral;Femme;Femme_Neutral31;Left;3;3;0;811.0427;274;4052;649;4701;86.19442671771964;13.805573282280365;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;6;L;False;4;Gaze;Fear;Homme;Homme_Fear71;Right;2;2;0;978.8482;339;4237;402;4639;91.33433929726235;8.665660702737659;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;7;L;False;4;Gaze;Neutral;Homme;Homme_Neutral71;Left;3;3;0;1288.5768;272;3807;924;4731;80.46924540266328;19.530754597336717;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;8;L;False;4;Gaze;Fear;Homme;Homme_Fear20;Right;2;2;0;855.6683;741;3566;1027;4593;77.63988678423688;22.360113215763118;Late;0;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;9;L;False;4;Gaze;Neutral;Homme;Homme_Neutral49;Left;3;3;0;783.1397;287;3949;589;4538;87.0207139709123;12.979286029087703;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;10;L;False;4;Gaze;Fear;Femme;Femme_Fear32;Left;2;2;0;500.8708;934;3458;1213;4671;74.03125669021622;25.968743309783772;Late;0;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;11;L;False;4;Gaze;Neutral;Femme;Femme_Neutral32;Right;3;3;0;1004.6878;292;4121;522;4643;88.75726900710748;11.242730992892525;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;12;L;False;4;Gaze;Angry;Femme;Femme_Angry31;Right;1;1;0;772.4997;321;3764;850;4614;81.57780667533594;18.422193324664065;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;13;L;False;4;Gaze;Angry;Homme;Homme_Angry49;Left;1;1;0;538.9382;282;3765;921;4686;80.34571062740076;19.65428937259923;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;14;L;False;4;Gaze;Fear;Femme;Femme_Fear1;Right;2;2;0;1152.9636;313;3357;1131;4488;74.79946524064172;25.20053475935829;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;15;L;False;4;Gaze;Fear;Femme;Femme_Fear57;Right;2;2;0;791.1863;874;2116;2476;4592;46.0801393728223;53.9198606271777;Late;0;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;16;L;False;4;Gaze;Fear;Femme;Femme_Fear31;Left;2;2;0;852.9177;230;2430;2038;4468;54.386750223813785;45.613249776186215;Late;1;Normal Response time value;Deviant Total fixation time on image (used for percentage computation) 2 SD
19;YA;17;L;False;4;Gaze;Angry;Homme;Homme_Angry20;Left;1;1;0;907.1594;689;3078;1538;4616;66.68110918544194;33.31889081455806;Late;0;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;18;L;False;4;Gaze;Neutral;Homme;Homme_Neutral25;Right;3;3;0;1331.6447;273;3945;739;4684;84.22288642186166;15.777113578138344;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;19;L;False;4;Gaze;Fear;Homme;Homme_Fear25;Left;2;2;0;1378.06;717;2111;2494;4605;45.841476655808904;54.1585233441911;Late;0;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;20;L;False;4;Gaze;Neutral;Femme;Femme_Neutral57;Left;3;3;0;1105.2134;507;3768;898;4666;80.75439348478353;19.24560651521646;Late;0;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;21;L;False;4;Gaze;Angry;Homme;Homme_Angry71;Right;1;1;0;608.2323;274;3573;1106;4679;76.36247061337893;23.637529386621072;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;22;L;False;4;Gaze;Neutral;Homme;Homme_Neutral20;Right;3;3;0;760.8018;276;3674;983;4657;78.89199055185742;21.10800944814258;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;23;L;False;4;Gaze;Angry;Femme;Femme_Angry32;Left;1;1;0;751.229;281;3757;938;4695;80.02129925452608;19.97870074547391;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
19;YA;24;L;False;4;Gaze;Fear;Homme;Homme_Fear49;Left;2;2;0;431.0438;290;2723;1865;4588;59.35047951176984;40.649520488230166;Late;1;Normal Response time value;Normal Total fixation time on image (used for percentage computation) value
